Station Name,Postcode,Estimated Suburb/Area,Latitude,Longitude
BP Sorrento,6020,Carine / Sorrento,-31.8535,115.7795
Better Choice Edgewater,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.744,115.7615
Caltex Woolworths Alkimos,6038,Alkimos,-31.6065,115.697
Caltex Woolworths Currambine Marketplace,6028,Currambine,-31.724,115.732
Caltex Woolworths Floreat,6014,Wembley / Floreat / Jolimont,-31.9245,115.8015
Caltex Woolworths Greenwood,6024,Greenwood / Warwick,-31.8445,115.7985
Caltex Woolworths Joondalup Winton Road,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.753,115.766
Caltex Woolworths Osborne Park,6017,Osborne Park,-31.9095,115.8245
Caltex Woolworths Whitfords,6025,Padbury / Whitfords,-31.815,115.7785
EG Ampol Banksia Grove,6031,Banksia Grove / Neerabup,-31.6915,115.803
EG Ampol Floreat,6014,Wembley / Floreat / Jolimont,-31.929,115.788
EG Ampol Osborne Park,6017,Osborne Park,-31.8915,115.8155
Liberty Banksia Grove,6031,Banksia Grove / Neerabup,-31.7095,115.7805
Puma Balcatta,6021,Balcatta / Stirling,-31.88,115.812
Puma Gwelup,6018,Karrinyup / Doubleview / Gwelup,-31.8885,115.7945
Puma Joondalup,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.744,115.7615
Puma Merriwa,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.6835,115.736
Puma Mindarie,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.679,115.718
Puma Neerabup,6031,Banksia Grove / Neerabup,-31.6825,115.7985
Puma North Perth,6005,West Perth,-31.9605,115.8295
Puma Osborne Park,6017,Osborne Park,-31.914,115.811
Puma Yanchep,6035,Yanchep,-31.5545,115.6465
Shell Alkimos,6038,Alkimos,-31.611,115.6835
Shell Coles Express Banksia Grove,6031,Banksia Grove / Neerabup,-31.6915,115.803
Shell Coles Express Butler,6036,Butler / Jindalee,-31.635,115.697
Shell Coles Express Claremont,6010,Claremont / Swanbourne / Jolimont,-31.9645,115.7875
Shell Coles Express Clarkson,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.7015,115.7135
Shell Coles Express Duncraig,6023,Duncraig,-31.842,115.777
Shell Coles Express Edgewater,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.7485,115.7795
Shell Coles Express Jolimont,6014,Wembley / Floreat / Jolimont,-31.938,115.7925
Shell Coles Express Kingsley,6026,Kingsley / Woodvale,-31.7975,115.812
Shell Coles Express Mosman Park,6012,Mosman Park,-31.999,115.751
Shell Coles Express Mount Lawley,6006,North Perth / Mount Lawley,-31.9165,115.8545
Shell Coles Express Ocean Reef,6027,Joondalup / Beldon / Edgewater / Mullaloo / Ocean Reef,-31.7575,115.7525
Shell Coles Express Osborne Park,6017,Osborne Park,-31.914,115.811
Shell Coles Express Perth,6000,Perth / East Perth,-31.955,115.874
Shell Coles Express Scarborough,6019,Scarborough,-31.894,115.7525
Shell Coles Express Warwick (WA),6024,Greenwood / Warwick,-31.8265,115.821
Shell Coles Express Wembley,6014,Wembley / Floreat / Jolimont,-31.929,115.788
Shell Coles Express West Perth,6005,West Perth,-31.9335,115.8475
United Hepburn Heights,6025,Padbury / Whitfords,-31.8285,115.7695
United Neerabup Truck Stop,6031,Banksia Grove / Neerabup,-31.705,115.794
United Northbridge,6003,Northbridge,-31.9489,115.8696
United Osborne Park,6017,Osborne Park,-31.905,115.8065
United Quinns Rocks,6030,Clarkson / Merriwa / Mindarie / Quinns Rocks,-31.6835,115.736
United Swanbourne,6010,Claremont / Swanbourne / Jolimont,-31.969,115.774
Vibe Charles St,6006,North Perth / Mount Lawley,-31.9165,115.8545
Vibe Osborne Park,6017,Osborne Park,-31.9185,115.7975
Vibe Subiaco,6008,Subiaco,-31.957,115.824
X Convenience Alkimos,6038,Alkimos,-31.6155,115.7015
